SWC_ID,SWC_Title,SWE_ID,SWE_Title,CWE_ID,CWE_Title,Severity,Description,References
SWC-130,Right-To-Left-Override control character (U+202E),SWE-130,Unicode Issues,CWE-838,Inappropriate Encoding for Output Context,Medium,Malicious use of Unicode to hide code behavior,"SWC Registry (2020), SWE 2023"
SWC-131,Presence of unused variables,SWE-131,Code Quality,CWE-563,Assignment to Variable without Use,Informational,Unused variables indicating incomplete code,"SWC Registry (2020), SWE 2023, CWE-563"
SWC-132,Unexpected Ether balance,SWE-132,Balance Dependence,CWE-667,Improper Locking,Medium,Logic depending on exact Ether balance,"SWC Registry (2020), SWE 2023"
SWC-133,Hash Collisions With Multiple Variable Length Arguments,SWE-133,Encoding Issues,CWE-294,Authentication Bypass by Capture-replay,Medium,abi.encodePacked with dynamic types allowing collisions,"SWC Registry (2020), SWE 2023"
SWC-134,Message call with hardcoded gas amount,SWE-134,Gas Management Issues,CWE-400,Uncontrolled Resource Consumption,Low,Using fixed gas amounts in external calls,"SWC Registry (2020), SWE 2023"
SWC-135,Code With No Effects,SWE-135,Dead Code,CWE-561,Dead Code,Informational,Code that has no effect on contract state,"SWC Registry (2020), SWE 2023, CWE-561"
SWC-136,Unencrypted Private Data On-Chain,SWE-136,Privacy Issues,CWE-359,Exposure of Private Personal Information,Medium,Storing sensitive data unencrypted on-chain,"SWC Registry (2020), SWE 2023, CWE-359"
N/A,N/A,SWE-200,Information Exposure,CWE-200,Exposure of Sensitive Information,Low,Unintentional exposure of sensitive information,SWE 2023 (New)
N/A,N/A,SWE-201,Cross-Contract Reentrancy,CWE-841,Improper Enforcement of Behavioral Workflow,Critical,Reentrancy across multiple contracts,"SWE 2023 (New), extension of SWC-107"
N/A,N/A,SWE-202,Read-Only Reentrancy,CWE-841,Improper Enforcement of Behavioral Workflow,High,Reentrancy in view/pure functions,SWE 2023 (New)
N/A,N/A,SWE-203,Flash Loan Attack,CWE-362,Concurrent Execution using Shared Resource,Critical,Vulnerabilities exploitable via flash loans,SWE 2023 (New)
N/A,N/A,SWE-204,Price Oracle Manipulation,CWE-350,Reliance on Reverse DNS Resolution for a Security-Critical Action,Critical,Manipulating price oracles,SWE 2023 (New)
N/A,N/A,SWE-205,Unchecked ERC20 Transfer,CWE-252,Unchecked Return Value,Medium,Not checking return values of ERC20 transfers,SWE 2023 (New)
N/A,N/A,SWE-206,Approval Race Condition,CWE-362,Concurrent Execution using Shared Resource,Medium,ERC20 approve() front-running,SWE 2023 (New)
N/A,N/A,SWE-207,Unsafe Casting,CWE-197,Numeric Truncation Error,Medium,Unsafe type casting losing precision,SWE 2023 (New)
N/A,N/A,SWE-208,Uninitialized Proxy,CWE-665,Improper Initialization,High,Proxy contracts without initialization,SWE 2023 (New)
N/A,N/A,SWE-209,Storage Collision in Proxy,CWE-1321,Improperly Controlled Modification of Object Prototype Attributes,Critical,Storage slot collisions in upgradeable proxies,SWE 2023 (New)
N/A,N/A,SWE-210,Centralization Risk,CWE-269,Improper Privilege Management,Medium,Excessive admin control threatening decentralization,SWE 2023 (New)
